Folder Path Yolu,TargetAppId,SHA-1 Hash
WER\ReportArchive\AppCrash_dwm.exe_196d53111c215b904d913fa41dc9b8c3afc9e52e_a5e01898_fe625d40-e59a-4a7b-a3c9-aed2c74333cc\Report.wer,W:0000f519feec486de87ed73cb92d3cac802400000000!0000ec039023c2d1947d01e2f56d2dd726cf0645934f!dwm.exe,0000ec039023c2d1947d01e2f56d2dd726cf0645934f
WER\ReportArchive\AppCrash_mmc.exe_5219f715576151b5d97df474cb6b495b2c75438_433b7513_b12277e9-e095-45cd-b5bb-6bda4f1da4da\Report.wer,W:0000f519feec486de87ed73cb92d3cac802400000000!0000d7f1d8278c0379fc9265854ea8ee4271a066ca79!mmc.exe,0000d7f1d8278c0379fc9265854ea8ee4271a066ca79
WER\ReportArchive\AppCrash_mmc.exe_dfd9d0cfc572b2417ef0c0256e3397fe7e90bfa_433b7513_54c74938-e006-4e61-ace9-b884d4efd223\Report.wer,W:0000f519feec486de87ed73cb92d3cac802400000000!0000d7f1d8278c0379fc9265854ea8ee4271a066ca79!mmc.exe,0000d7f1d8278c0379fc9265854ea8ee4271a066ca79
WER\ReportArchive\AppCrash_rcsetup154.exe_8146dd8cf67a5d5ae7be0831110198a15a843_2cd8c751_a7681a8c-101c-437c-a8d2-c8e79614850f\Report.wer,W:0006f860c096c016fa1e18f3ecddfc17e5db00000904!0000de2cf03a1dbdbe1b02327e92aeaef96a583280df!rcsetup154.exe,0000de2cf03a1dbdbe1b02327e92aeaef96a583280df
WER\ReportArchive\AppCrash_svchost.exe_Maps_1f809ca31b32cefa4b6d71bdaf7a286b680dea5_50f6c0cc_46bbffd1-a4b5-4910-8e7b-86a577b0e501\Report.wer,W:0000f519feec486de87ed73cb92d3cac802400000000!0000445f5f38365af88ec29b357f4696f0e3ee50a1d8!svchost.exe,0000445f5f38365af88ec29b357f4696f0e3ee50a1d8
WER\ReportArchive\AppCrash_wuauclt.exe_8a5882d1d4b79ed4521c8bccf7da50c190e0df43_1b8268e4_60636851-7aea-4dd2-ae42-05f2f2d3f8bb\Report.wer,W:0000f519feec486de87ed73cb92d3cac802400000000!00005ed5cb68b81a169d242f89292fe3a3cb32415a69!wuauclt.exe,00005ed5cb68b81a169d242f89292fe3a3cb32415a69
WER\ReportArchive\AppCrash_wuauclt.exe_8a5882d1d4b79ed4521c8bccf7da50c190e0df43_1b8268e4_eec72738-c698-4da0-87a7-9397fe7f7d6a\Report.wer,W:0000f519feec486de87ed73cb92d3cac802400000000!00005ed5cb68b81a169d242f89292fe3a3cb32415a69!wuauclt.exe,00005ed5cb68b81a169d242f89292fe3a3cb32415a69
WER\ReportArchive\Critical_10.0.19041.3745_df96a81894588e781d035b6a7d2c998db8c4560_00000000_9fe3498a-5d4d-40c5-b5e3-bf6c8c8c0b21\Report.wer,W:0006280455868ff4cdcd06133da65e3d195b00000904!000099bf5030a015c2f5bea0ab7196b925f6b8d959f9!TiWorker.exe,000099bf5030a015c2f5bea0ab7196b925f6b8d959f9
WER\ReportArchive\Critical_10.0.19041.3745__e25b5295577d28d6732941e2eceeb11a5e5c4_00000000_f5fc9143-81e1-4b04-b20e-5feb502c0929\Report.wer,W:0006280455868ff4cdcd06133da65e3d195b00000904!000099bf5030a015c2f5bea0ab7196b925f6b8d959f9!TiWorker.exe,000099bf5030a015c2f5bea0ab7196b925f6b8d959f9
WER\ReportArchive\Critical_10.0.19041.5071_fbbdf88e9860494b9c520624d338a7c905e79_00000000_3736c310-dfe6-4453-ae77-8df1689e1341\Report.wer,W:0006918f3a3737903d5e01d6017fceca309700000904!0000f65e3f9a9997366102334ac84c49bc701d388cad!TiWorker.exe,0000f65e3f9a9997366102334ac84c49bc701d388cad
